INDEX,news_title,언론사,뉴스 게시일자,기사 반응 수,comments,댓글 공감 수,댓글 답글 수,gender_bias,other_bias,none_bias,hate,offensive,none_hate
12,'SKY 캐슬' 김혜나는 끝났지만 김보라는 계속된다…강렬한 존재감 [콕TV],일간스포츠,2022-07-10,4024,예서는 못생겼는데 못됐고 혜나는 예쁜데 못됐고 둘다 연기 잘하지만 내게는 그차이,2,5,0.061209772,0.139841169,0.752551317,0.067921668,0.324554503,0.581412554
13,'SKY 캐슬' 김혜나는 끝났지만 김보라는 계속된다…강렬한 존재감 [콕TV],일간스포츠,2022-07-10,4024,내가 2년 동안 본 드라마.. 도깨비 나의아저씨 내뒤에테리우스 스카이캐슬 정말 스카이캐슬 최고!,1,2,0.040873539,0.09064801,0.901861906,0.049511191,0.180433884,0.801811039
14,'SKY 캐슬' 김혜나는 끝났지만 김보라는 계속된다…강렬한 존재감 [콕TV],일간스포츠,2022-07-10,4024,아니 진짜 김혜나 너무 싫음 오죽하면 꿈에도 나옴,1,7,0.036689013,0.077199578,0.918035686,0.047297861,0.23909089,0.741837263
15,'SKY 캐슬' 김혜나는 끝났지만 김보라는 계속된다…강렬한 존재감 [콕TV],일간스포츠,2022-07-10,4024,반전있을듯 김혜나는살아있다.,3,16,0.037549865,0.076620378,0.923191786,0.04766855,0.157280058,0.842201293
16,'SKY 캐슬' 김혜나는 끝났지만 김보라는 계속된다…강렬한 존재감 [콕TV],일간스포츠,2022-07-10,4024,김보라 얘는 이때까지 맡은 배역들보면 전부다 우울하고 비극적인 역할뿐이드라~~,2,4,0.029398577,0.118055791,0.833738863,0.09069258,0.262132764,0.530484498
17,'YG보석함' 드디어 오픈..방예담x김종섭에 샤이니 민호 닮은꼴까지 [V라이브 종합],헤럴드POP,2022-07-10,4024,비주얼이고 나발이고 와이지는 실력좋다는게 진심이해가 안간다. 한국말을 혀짧은소리로 랩하면 그냥 다 잘하는줄아나봄 라이브들으면 솔찍히 다른회사랑 별차이도 없다,19,65,0.043363377,0.273066908,0.6814695,0.153249517,0.443973511,0.320805639
18,'YG보석함' 드디어 오픈..방예담x김종섭에 샤이니 민호 닮은꼴까지 [V라이브 종합],헤럴드POP,2022-07-10,4024,와이지 믿고 본다.,0,2,0.03187383,0.102554835,0.914011776,0.053995628,0.256946385,0.726531506
19,'YG보석함' 드디어 오픈..방예담x김종섭에 샤이니 민호 닮은꼴까지 [V라이브 종합],헤럴드POP,2022-07-10,4024,어이쿠야 방예담 얼굴이... 성형이라도 시켜줘라. 저 얼굴로는....,0,1,0.136634216,0.343862504,0.492436588,0.40961951,0.399872243,0.139456376
20,'YG보석함' 드디어 오픈..방예담x김종섭에 샤이니 민호 닮은꼴까지 [V라이브 종합],헤럴드POP,2022-07-10,4024,샤이니 민호 기대하고 왔는데... 신기방기 적힌 저 사진 남자 이름 아시는분 알려주세요,0,0,0.126845106,0.100418732,0.658052564,0.112806387,0.315871119,0.463134766
21,'YG보석함' 드디어 오픈..방예담x김종섭에 샤이니 민호 닮은꼴까지 [V라이브 종합],헤럴드POP,2022-07-10,4024,강타 지디 영웅재중 탑 방탄 동해 이특 시원 애들만 잘생기고 비쥬얼좋음,2,2,0.057192892,0.073895328,0.905606329,0.05757736,0.167771861,0.81483537
22,'YG보석함' 드디어 오픈..방예담x김종섭에 샤이니 민호 닮은꼴까지 [V라이브 종합],헤럴드POP,2022-07-10,4024,난 영상 보고 어 민호 닮았네!하고 생각했는데......,3,4,0.034351625,0.084259234,0.926145136,0.046972848,0.192833498,0.817270935
23,'가인이어라' 실력+입담 완벽했던 송가인 첫 콘서트[★밤TView],스포츠동아,2022-07-10,4024,전라도 사투리 듣기싫다,7,21,0.218295753,0.466820538,0.291317463,0.647152305,0.346033812,0.17593056
24,'가인이어라' 실력+입담 완벽했던 송가인 첫 콘서트[★밤TView],스포츠동아,2022-07-10,4024,나중에 콘서트에서 초대가수로 mc몽이랑 튜엣 하는거 볼수 있겠죠..?기대되네요 ㅎㅎ,3,28,0.039279677,0.079184875,0.918715239,0.042393122,0.189398348,0.829289615
25,'가인이어라' 실력+입담 완벽했던 송가인 첫 콘서트[★밤TView],스포츠동아,2022-07-10,4024,군대 안간 발치몽 도와준 인성 확인 응 손절,3,3,0.182453796,0.406144589,0.401510626,0.444067061,0.452086031,0.15021053
26,'가인이어라' 실력+입담 완벽했던 송가인 첫 콘서트[★밤TView],스포츠동아,2022-07-10,4024,미스트롯으로 무명껍데기 벗은 가수가 콘서트에서 국악을 부르다니 차라리 국악을 하지그래 국악은 좀 약한봐,3,5,0.058413561,0.306787044,0.617702007,0.24786602,0.413464189,0.275316834
27,'가인이어라' 실력+입담 완벽했던 송가인 첫 콘서트[★밤TView],스포츠동아,2022-07-10,4024,정말 실어...실어..심술보 덕지덕지..난 실다..,4,5,0.026199671,0.08917404,0.925579131,0.069540016,0.260999471,0.705780268
28,'가인이어라' 실력+입담 완벽했던 송가인 첫 콘서트[★밤TView],스포츠동아,2022-07-10,4024,장윤정 노래는 들으면 감정이입되고 같이 눈물 나고 그런데 얜 아주 감정이 메말라서 무슨 기계가 노래하는 것같고 결정적으로 노래를 ㅈ 못부른다 무슨 수로 1위했는지 모르겠다 또 투표로 조작했나,2,10,0.036600333,0.197808534,0.758272946,0.116119549,0.364474684,0.460871845
29,'가인이어라' 실력+입담 완벽했던 송가인 첫 콘서트[★밤TView],스포츠동아,2022-07-10,4024,몸은 날씬한데 얼굴은 터질려고 하는것 같아보이는건 나만...?,16,37,0.071831055,0.20974417,0.636875093,0.181988373,0.366935581,0.299306571
30,'가인이어라' 실력+입담 완벽했던 송가인 첫 콘서트[★밤TView],스포츠동아,2022-07-10,4024,tv조선서 키워줬더니 ㅋ,3,3,0.033687375,0.174063042,0.847946405,0.106337175,0.404089391,0.450073421
31,'강식당2'는 경주에서 떡볶이?..핫한 관심→벌써 시작된 스포와의 전쟁 [종합],스포츠경향,2022-07-10,4024,돌려막기섭외 우려먹기 컨셉.. 적당히좀해라 적당히좀. 지긋지긋하다진짜,5,21,0.029097736,0.201154396,0.813353598,0.180588499,0.429290682,0.359797478
32,'강식당2'는 경주에서 떡볶이?..핫한 관심→벌써 시작된 스포와의 전쟁 [종합],스포츠경향,2022-07-10,4024,애들 코묻은돈 뺏어가네,10,18,0.073196918,0.344504595,0.554986656,0.299419403,0.430410266,0.235733584
33,'강식당2'는 경주에서 떡볶이?..핫한 관심→벌써 시작된 스포와의 전쟁 [종합],스포츠경향,2022-07-10,4024,송민호 혼자 왜설겆이 시켰어요 골병들겠다 피오가 많이도와줘야할텐데 송민호키도 큰데 설것이 하면 허리가 얼마나 아플까 나영석 피디는 사람넉넉히 안쓸꺼면설겆이좀 도와야지 아줌마들도 식당설겆이 혼자하면 힘든데,1,3,0.159519389,0.230222076,0.499929965,0.23501198,0.301430583,0.292864174
34,'강식당2'는 경주에서 떡볶이?..핫한 관심→벌써 시작된 스포와의 전쟁 [종합],스포츠경향,2022-07-10,4024,시불. 자영업하시는분들은 고생이 얼마나 많은데재미로하냐?어차피안보던방송이다.,9,12,0.035021063,0.284072578,0.703355312,0.185894772,0.483398855,0.318282843
35,'강식당2'는 경주에서 떡볶이?..핫한 관심→벌써 시작된 스포와의 전쟁 [종합],스포츠경향,2022-07-10,4024,지겨워 나영석,4,19,0.02976777,0.074243061,0.932847321,0.064510785,0.227432564,0.700344205
36,'강식당2'는 경주에서 떡볶이?..핫한 관심→벌써 시작된 스포와의 전쟁 [종합],스포츠경향,2022-07-10,4024,재미 1도 없다,0,1,0.0287857,0.081845991,0.929770172,0.057043821,0.22418341,0.770895004
37,'강식당2'는 경주에서 떡볶이?..핫한 관심→벌써 시작된 스포와의 전쟁 [종합],스포츠경향,2022-07-10,4024,제발 한국에서 하지마세요 개돼지들 또 냄새맡고 거기가서 바글바글거릴거 생각하니까 역겨워서 그래요,0,0,0.32740286,0.514104843,0.205770776,0.715328395,0.367653787,0.081808485
38,'강식당2'는 경주에서 떡볶이?..핫한 관심→벌써 시작된 스포와의 전쟁 [종합],스포츠경향,2022-07-10,4024,이승기는 이제 나영석 머릿속에 없는건가요,0,14,0.027146075,0.115058474,0.894005775,0.07171195,0.31612134,0.591207027
39,'공복자들' 이수진 치과의사 51세 연예인급 美친동안+명품복근[종합],뉴스1,2022-07-10,4024,mbc 요즘 일반인들 섭외 ㅈㄴ하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한심,1,130,0.062039014,0.349031627,0.615528464,0.282352179,0.435239345,0.180791423
40,'공복자들' 이수진 치과의사 51세 연예인급 美친동안+명품복근[종합],뉴스1,2022-07-10,4024,한의사 치과의사가 무슨 3대의사가문이여ㅋㅋㅋ,0,0,0.066138171,0.332010895,0.586265326,0.238116339,0.40563485,0.244450808
41,'공복자들' 이수진 치과의사 51세 연예인급 美친동안+명품복근[종합],뉴스1,2022-07-10,4024,넘 멋져요♡♡♡저 책도 사서 봤답니다^^,1,1,0.037308797,0.07577873,0.932125449,0.047330964,0.166106522,0.851262391
42,'공복자들' 이수진 치과의사 51세 연예인급 美친동안+명품복근[종합],뉴스1,2022-07-10,4024,여자들 진짜 질투 개쩌넼ㅋㅋㅋㅋㅋㅋㅋ,0,0,0.852099597,0.206744984,0.089565024,0.734168351,0.325911462,0.093803622
43,'공복자들' 이수진 치과의사 51세 연예인급 美친동안+명품복근[종합],뉴스1,2022-07-10,4024,치과 과잉진료 막을수있는 법안이나 좀 만들어주라,1,5,0.024960265,0.141234785,0.884329557,0.073233157,0.316607445,0.633315861
44,'공복자들' 이수진 치과의사 51세 연예인급 美친동안+명품복근[종합],뉴스1,2022-07-10,4024,노홍철 이새기나와서 딴데뜬다,10,50,0.059720848,0.331117153,0.615386784,0.376406163,0.45065707,0.194701582
45,'김생민 영수증' 슬리피 전재산 7만원vs허세 명품중독[종합],OSEN,2022-09-16,2144,타워펠리스 관리비 월 100마넌 ᆢ 스튜핏,4,4,0.030678995,0.09485437,0.904085875,0.058782771,0.203145593,0.748920202
46,'나혼자 산다' 金 독보적 1위…화사→전현무·이시언·기안84 '웃음 폭탄',뉴시스,2022-09-16,2144,기안84 뭐하는 사람?,1,2,0.027505886,0.101893835,0.902917862,0.081395239,0.307268202,0.564058065
47,'나혼자 산다' 金 독보적 1위…화사→전현무·이시언·기안84 '웃음 폭탄',뉴시스,2022-09-16,2144,화사 꺼 설정 너무많음 떡이랑꿀도장어 경운기 동네친척,8,41,0.038863473,0.157466456,0.805403352,0.102868371,0.282126755,0.518808246
48,'나혼자 산다' 金 독보적 1위…화사→전현무·이시언·기안84 '웃음 폭탄',뉴시스,2022-09-16,2144,어제보면서 한혜진전현무 불편햇던게 나뿐이아니엿구나,0,0,0.033232078,0.089819595,0.921721339,0.042632319,0.209909573,0.791182756
49,'나혼자 산다' 金 독보적 1위…화사→전현무·이시언·기안84 '웃음 폭탄',뉴시스,2022-09-16,2144,화사 나오고부터 안보게 되던데..너무 생긴게 뭔가...음,7,10,0.032827228,0.16502969,0.859520853,0.077253535,0.369207293,0.56340915
50,'나혼자 산다' 金 독보적 1위…화사→전현무·이시언·기안84 '웃음 폭탄',뉴시스,2022-09-16,2144,1부는 눈 썩는 거 같아서 2부만 봤다 졸라 웃기더만 ㅋㅋ,1,7,0.03267286,0.112533681,0.878706455,0.101603545,0.307977855,0.477435142
51,'나혼자 산다' 金 독보적 1위…화사→전현무·이시언·기안84 '웃음 폭탄',뉴시스,2022-09-16,2144,화사는 진짜 못생,5,8,0.036460642,0.179658577,0.817674816,0.129049286,0.339785725,0.445935845
52,'나혼자산다' 요섹남 김충재 반전일상x홍현희♥제이쓴 신혼집 첫 공개 [종합],MBC연예,2022-09-16,2144,충재인지 충치인지 확실히 일반인은 일반인이네잘 생겨도 연예인 포스가 없음 왜케 티비 나오는거야 근데,1,2,0.078221284,0.407511503,0.500373065,0.236289576,0.512811422,0.215875953
53,'나혼자산다' 요섹남 김충재 반전일상x홍현희♥제이쓴 신혼집 첫 공개 [종합],MBC연예,2022-09-16,2144,충재 고정하자 충재 보여주다가 기안이 보여주지마,10,239,0.025415611,0.085388497,0.911708891,0.06606409,0.264655083,0.686796308
54,'나혼자산다' 요섹남 김충재 반전일상x홍현희♥제이쓴 신혼집 첫 공개 [종합],MBC연예,2022-09-16,2144,제이슨 친구들도 와서 썸라인이라도 조성하지 재미없으 페인트칠하는거 잼없네ㅡ ㅡ;;눈치없는 방송국놈들,1,1,0.068623587,0.364328474,0.508402109,0.290419608,0.418808818,0.23481968
55,'나혼자산다' 요섹남 김충재 반전일상x홍현희♥제이쓴 신혼집 첫 공개 [종합],MBC연예,2022-09-16,2144,박나래 진짜 공중파에 나오는데 매번 너무 추한 모습으로 채널돌리게 만듬.,4,6,0.030394183,0.141291633,0.870065808,0.08897803,0.342735559,0.526905239
56,'나혼자산다' 욕구 증발 쌈디…아무도 몰랐던 속 깊었던 '고민'(종합),마이데일리,2022-09-16,2144,쌈디 결혼한 걸로 아는데~왜 나혼자산다?집도 아내있어서 공개 못하고친구집?,5,11,0.217303932,0.17405051,0.413888752,0.202235773,0.461672008,0.262655467
57,'나혼자산다' 욕구 증발 쌈디…아무도 몰랐던 속 깊었던 '고민'(종합),마이데일리,2022-09-16,2144,반고정 가즈아 나래 사장님 집밥 에피 나왔음 해요ㅜㅜ 기석이 힘내랏,2,14,0.041754354,0.081230745,0.893241346,0.049765531,0.166869581,0.787139356
58,'나혼자산다' 욕구 증발 쌈디…아무도 몰랐던 속 깊었던 '고민'(종합),마이데일리,2022-09-16,2144,레이디 제인이랑 헤어지고 잘언풀리는것같음 쌈디는,0,2,0.035977833,0.071942218,0.903148651,0.051971462,0.191834301,0.768771172
59,'나혼자산다' 욕구 증발 쌈디…아무도 몰랐던 속 깊었던 '고민'(종합),마이데일리,2022-09-16,2144,사람들한테 저희 잘나가는 랩퍼들 화려하게 안살고 더럽게 안놀아요~ 를 너무 보여주고 싶어서 설정 지대로 하고 나온듯ㅋ 속지말아라 텅텅이들아,0,0,0.084304444,0.367076635,0.508473635,0.285766721,0.408999652,0.204871118
60,'나혼자산다' 이시언의 엉망진창 집들이…'청결 황태자' 황민현[종합],스포티비뉴스,2022-09-16,2144,맨날 못생기고 더러운 기안 이시언 이딴 애들 보다가 황민현 나오니깐 눈정화 오졌다,5,12,0.41502282,0.302108407,0.200151935,0.633998334,0.346269429,0.080408514
61,'나혼자산다' 이시언의 엉망진창 집들이…'청결 황태자' 황민현[종합],스포티비뉴스,2022-09-16,2144,이시언집은 또 그새 짐이 많아졌어뭘 저렇게 집안에 살림으로 채우는지...하는짓이 꼭 노인같애,2,2,0.24647963,0.349704891,0.354744256,0.53787595,0.371066481,0.123499185
62,'나혼자산다' 이시언의 엉망진창 집들이…'청결 황태자' 황민현[종합],스포티비뉴스,2022-09-16,2144,나혼자 산다 보는사람 특) 약속없어서 혼자 방구석에서 나혼자 산다 보면서 낄낄대는 찐따 or 아싸,15,40,0.40098846,0.281387538,0.226444021,0.575219214,0.360630959,0.122099712
63,'나혼자산다' 이시언의 엉망진창 집들이…'청결 황태자' 황민현[종합],스포티비뉴스,2022-09-16,2144,맨날 못생기고 더럽고 늙은 기안 이시언 같은 한남퇘지들만 나오다가 깨끗하고 깔끔한 풋풋한 남자아이돌 황민현 나오니깐 화면이 달라지는거봐라~~ 그냥 보는거 자체가 재밌음 ㅋㅋ 역시 남자는 잘생기고 어리고 능력있고 봐야함~~,1,1,0.853073359,0.221379042,0.095061854,0.766270459,0.290055633,0.11824616
64,'나혼자산다' 이시언의 엉망진창 집들이…'청결 황태자' 황민현[종합],스포티비뉴스,2022-09-16,2144,오늘 기안 휴지로봇이 살렸네 ㅋㅋ,3,8,0.045815792,0.151195869,0.786673367,0.168775618,0.242291883,0.451755583
65,'나혼자산다' 이시언의 엉망진창 집들이…'청결 황태자' 황민현[종합],스포티비뉴스,2022-09-16,2144,이번편이 제일 재미 없었음.,1,5,0.045148056,0.073100224,0.932648063,0.048104543,0.153763473,0.862269759
66,'동백꽃 필 무렵' 흥식이 아빠=까불이?,스포츠월드,2022-09-16,2144,이랬는데 범인 강하늘,1,7,0.029874273,0.084210582,0.920296431,0.060482003,0.196091831,0.737487793
67,'동백꽃 필 무렵' 흥식이 아빠=까불이?,스포츠월드,2022-09-16,2144,느낌상 변소장같음 반전으로갈라면,18,194,0.029837571,0.082617141,0.927794158,0.0524037,0.198782846,0.782723546
68,'동백꽃 필 무렵' 흥식이 아빠=까불이?,스포츠월드,2022-09-16,2144,동백엄마가 동백이 지장찍어간건 멀까요? 대출 이런거라면... 함안댁 미워ㅜㅜ,37,1065,0.0485087,0.123454429,0.751845956,0.07241606,0.299139678,0.59010011
69,'둥지탈출3' 박잎선이 밝힌 #송종국과 이혼 #양육비 #송지아x송지욱[종합],엑스포츠뉴스,2022-06-26,78,"종국이 형님, 멋집니다! 하나뿐인인생 어린여자,사랑하는여자랑 멋지게 살고, 그래도 전처라고 사랑도안하지만 꼬박꼬박 양육비주고, 애들도 챙기주고, 진짜 멋집니다! 그렇게 아무나 못함니다.형님...ㅎ",12,91,0.297878653,0.121787585,0.418999761,0.18224588,0.244532242,0.452448934
70,'둥지탈출3' 박잎선이 밝힌 #송종국과 이혼 #양육비 #송지아x송지욱[종합],엑스포츠뉴스,2022-06-26,78,그만나오세요 방송나올만큼 잘한것도 없자나요,2,4,0.025970899,0.12676838,0.910714447,0.062596768,0.374022096,0.599606454
71,'둥지탈출3' 박잎선이 밝힌 #송종국과 이혼 #양육비 #송지아x송지욱[종합],엑스포츠뉴스,2022-06-26,78,바람이 죄도아닌데 뭘... 이젠 시대가 바꼇지. 잎선이도 종국이처럼 자유연애하고 그래라. 21세기다.,1,3,0.060269348,0.340809405,0.544889212,0.232025206,0.372642666,0.259619653
72,'둥지탈출3' 박잎선이 밝힌 #송종국과 이혼 #양육비 #송지아x송지욱[종합],엑스포츠뉴스,2022-06-26,78,바람 피는건 죄가 아니다 사람이 한평생 한여자만 사랑할수는 없자나,1,4,0.61631,0.159687325,0.22091046,0.426600009,0.348977774,0.175165072
73,'둥지탈출3' 박잎선이 밝힌 #송종국과 이혼 #양육비 #송지아x송지욱[종합],엑스포츠뉴스,2022-06-26,78,에휴 여편네가 얼마나 못났으면 종국이가2년동안 집을 두번들어 왔겠냐 똑같지뭐 성격파탄자들,1,4,0.572297275,0.337020755,0.162131459,0.711245,0.325318933,0.078745365
74,'둥지탈출3' 박잎선이 밝힌 #송종국과 이혼 #양육비 #송지아x송지욱[종합],엑스포츠뉴스,2022-06-26,78,ㅋㅋㅋ원래 돈많고 능력잇으면 여자 여럿 끼고 사는거야 ㅋㅋㅋ 근데 웃기는건 니들같은 쿵쾅이들은 거기도 못낌 ㅋㅋㅋㅋㅋ,2,8,0.852358162,0.215902731,0.084277928,0.780075252,0.298449576,0.099259369
75,'둥지탈출3' 박잎선이 밝힌 #송종국과 이혼 #양육비 #송지아x송지욱[종합],엑스포츠뉴스,2022-06-26,78,근데 이 여자 전라도 광주사람임,4,9,0.438076556,0.296918452,0.206235692,0.605387449,0.293098897,0.103604615
76,'둥지탈출3' 조영구♥신재은이 밝힌 #현실판SKY캐슬 #0.3%영재 #예서책상 [TV줌인],텐아시아,2022-06-26,78,"내 주변에 고려대 영재교육원 나온 애 4명 있는데 인하대, 상명대, 중앙대, 동국대 이렇게 갔음 대학에.... 어릴때 영재라고 명문대 가는 건 아니더라",4,38,0.050574146,0.243331492,0.728330731,0.116348505,0.374269128,0.504018724
77,'둥지탈출3' 조영구♥신재은이 밝힌 #현실판SKY캐슬 #0.3%영재 #예서책상 [TV줌인],텐아시아,2022-06-26,78,쇼하고 자빠졌네 조영구 신재은 돈으로 쳐바르면서 사교육시키는주제 쇼하고 자빠졌네,2,7,0.165501952,0.446903616,0.289074063,0.546535313,0.439722091,0.144647151
78,'둥지탈출3' 조영구♥신재은이 밝힌 #현실판SKY캐슬 #0.3%영재 #예서책상 [TV줌인],텐아시아,2022-06-26,78,아주잘키우고있는데..여기.불만가득한40대들 여성들 너무많네요..문제집 같이푼 어머니들만왈가왈부할수있을듯..남잘되는꼴을 못보는 심보들인듯!!!!,1,18,0.713241458,0.270145148,0.11345654,0.590054929,0.31004414,0.145074874
79,'둥지탈출3' 조영구♥신재은이 밝힌 #현실판SKY캐슬 #0.3%영재 #예서책상 [TV줌인],텐아시아,2022-06-26,78,큰애 어릴때 생각나네요.나름 플랜짜서 열심히 엄마표로 진행했는데 줄줄이 동생들 태어나니 힘드네요.정우엄마의 꾸준한 노력을 응원합니다.,1,2,0.060417909,0.116844982,0.836842597,0.041829996,0.167834893,0.833976626
80,'둥지탈출3' 조영구♥신재은이 밝힌 #현실판SKY캐슬 #0.3%영재 #예서책상 [TV줌인],텐아시아,2022-06-26,78,이유가무엇이든간에 어잿거나 저애가노력한결과라생각함넘마극성이든모든간에 몰해도안되는애가잇고 되는애가잇듯이...쟈도 본인노력도큰듯. 박수보냅니다 정우,1,3,0.042509224,0.18775396,0.738939524,0.081341423,0.372479379,0.483897001
81,'둥지탈출3' 조영구♥신재은이 밝힌 #현실판SKY캐슬 #0.3%영재 #예서책상 [TV줌인],텐아시아,2022-06-26,78,드라마에서는 영재가 어머니를 자살로 이끌었죠 아마?,0,0,0.024872556,0.105379261,0.891071141,0.06019159,0.265541255,0.684021711
82,'무한도전' 조세호X양세형 '웃음잭팟'…12.7% 토요예능 1위,스포츠동아,2022-06-26,78,재발 유재석 박명수 나가라. 정말 재미앖다. 늘 남 멘트 주워담고 재미없은 유재석. 박명수는 외모라도 웃겼는데 지금은 머리심고 꾸미고 나오니 전혀 노잼. 게다가 재치도 없고 열정도 없고.,2,12,0.031027241,0.132284015,0.858173132,0.066540435,0.31923762,0.630443752
83,'무한도전' 조세호X양세형 '웃음잭팟'…12.7% 토요예능 1위,스포츠동아,2022-06-26,78,윤식당을 못넘기네! 허긴 태호가 뺄갱이냄새가나니...,2,6,0.145616844,0.435824543,0.36259833,0.582075179,0.354322672,0.124301232
84,'무한도전' 조세호X양세형 '웃음잭팟'…12.7% 토요예능 1위,스포츠동아,2022-06-26,78,둘이 껴서 재밌는건 사실인데 다른 예능이랑 ㅇ이제 별반차이가없다ㅏ..,7,13,0.037892599,0.088018395,0.914949358,0.039435994,0.273537338,0.772583604
85,'무한도전' 조세호X양세형 '웃음잭팟'…12.7% 토요예능 1위,스포츠동아,2022-06-26,78,아무리 재밌고 잘나가던 프로도 계집들이 참여하는 순간 노잼 억지웃음 제조기로 변한다 명심해라 계집들이 노잼의 원인이다,3,217,0.784604907,0.238623813,0.091384463,0.744413078,0.265663952,0.091127008
86,'무한도전' 조세호X양세형 '웃음잭팟'…12.7% 토요예능 1위,스포츠동아,2022-06-26,78,폐지해라 윾도 제발 ㅋㅋ,0,0,0.04878258,0.16726014,0.805040538,0.235836953,0.399206519,0.267545223
87,'무한도전' 조세호X양세형 '웃음잭팟'…12.7% 토요예능 1위,스포츠동아,2022-06-26,78,유재석이는 징징되면서 억지로할거같음. 가식세끼,2,3,0.068779252,0.32282868,0.607964396,0.316452652,0.487185597,0.193747342
88,'무한도전' 조세호X양세형 '웃음잭팟'…12.7% 토요예능 1위,스포츠동아,2022-06-26,78,토요일 저녁 황금시간대에 겨우 12% 나왔다고 기뻐하고 난리네 ㅋㅋㅋㅋ 난 그시간에 백년손님 봤는데 후회 안한다. 저능아 컨셉 예능은 이제 질려서 못보겠다.,0,6,0.095669903,0.357371807,0.508597434,0.262554079,0.430723369,0.239983559
89,'복면가왕' 카오스 정체는 박남정 딸 박시은 '깜짝',디스패치,2022-06-26,78,초중등생때부터 박남정이 데리고 방송출연 시키더니 슬슬 제대로 활동하려고 하나보네,2,9,0.039205153,0.321098834,0.704404116,0.153040677,0.431205601,0.30789423
90,'복면가왕' 카오스 정체는 박남정 딸 박시은 '깜짝',디스패치,2022-06-26,78,너무 이쁘던데,1,2,0.057665117,0.063962229,0.926630914,0.047930274,0.129389003,0.875622571
91,'부모 사기' 마이크로닷 뒤늦은 사과→경찰 재수사[종합],스포츠조선,2022-06-26,78,아니 멍청하니깐 사기당하지 ㅋㅋㅋㅋ헤헤헤헿,1,3,0.198615789,0.395021617,0.326213926,0.532454908,0.401676834,0.108232185
